Date,Open,High,Low,Close,Adj Close,Volume
2021-03-06,0.047871,0.059071,0.045155,0.055295,0.055295,1911471
2021-03-07,0.054882,0.057613,0.050719,0.052889,0.052889,1250094
2021-03-08,0.052707,0.069929,0.052315,0.068586,0.068586,3928517
2021-03-09,0.068365,0.070458,0.056245,0.059982,0.059982,3341926
2021-03-10,0.060101,0.060999,0.048241,0.051569,0.051569,2604546
2021-03-11,0.051660,0.057072,0.047290,0.054303,0.054303,1990880
2021-03-12,0.054360,0.069946,0.053061,0.064022,0.064022,5992239
2021-03-13,0.064164,0.086482,0.059064,0.077747,0.077747,8827365
2021-03-14,0.077894,0.112726,0.066897,0.104271,0.104271,14325591
2021-03-15,0.104204,0.107838,0.080646,0.094411,0.094411,9399240
2021-03-16,0.094052,0.097114,0.075531,0.078449,0.078449,3992029
2021-03-17,0.078521,0.088915,0.070613,0.083184,0.083184,3945963
2021-03-18,0.083775,0.084877,0.070376,0.076496,0.076496,2731861
2021-03-19,0.076487,0.077920,0.068153,0.074754,0.074754,3124724
2021-03-20,0.074449,0.077888,0.069708,0.069708,0.069708,1919634
2021-03-21,0.069580,0.078841,0.064025,0.073945,0.073945,2133577
2021-03-22,0.073544,0.077392,0.064058,0.064325,0.064325,1903650
2021-03-23,0.064273,0.067987,0.061812,0.063439,0.063439,1504276
2021-03-24,0.063320,0.073448,0.055122,0.056879,0.056879,2095162
2021-03-25,0.056915,0.058365,0.050948,0.054850,0.054850,1805446
2021-03-26,0.054820,0.062692,0.053963,0.059916,0.059916,1339503
2021-03-27,0.060317,0.061207,0.054001,0.058368,0.058368,1264301
2021-03-28,0.058297,0.059770,0.055631,0.057756,0.057756,1705508
2021-03-29,0.057506,0.060672,0.054668,0.058131,0.058131,1902391
2021-03-30,0.058445,0.072409,0.055608,0.066564,0.066564,3647820
2021-03-31,0.066572,0.067355,0.058522,0.061823,0.061823,1827375
2021-04-01,0.061543,0.062346,0.055402,0.055991,0.055991,1483587
2021-04-02,0.055965,0.059089,0.051805,0.055518,0.055518,1766072
2021-04-03,0.055514,0.060204,0.048007,0.048007,0.048007,1399073
2021-04-04,0.047995,0.067548,0.046849,0.056821,0.056821,3422126
2021-04-05,0.056107,0.068006,0.052116,0.063542,0.063542,3344549
2021-04-06,0.063682,0.066822,0.054066,0.058437,0.058437,1716855
2021-04-07,0.058414,0.058440,0.048138,0.051103,0.051103,1142391
2021-04-08,0.050994,0.057912,0.050589,0.053938,0.053938,1056205
2021-04-09,0.053930,0.057532,0.053140,0.053521,0.053521,1110061
2021-04-10,0.053498,0.058268,0.051710,0.052987,0.052987,1288806
2021-04-11,0.052994,0.053447,0.048295,0.050308,0.050308,1397988
2021-04-12,0.050269,0.051947,0.044384,0.047368,0.047368,1744893
2021-04-13,0.047324,0.050718,0.045398,0.046286,0.046286,1058775
2021-04-14,0.046368,0.047036,0.039983,0.045904,0.045904,1742665
2021-04-15,0.045679,0.057873,0.045270,0.048363,0.048363,2026604
2021-04-16,0.048389,0.049272,0.042245,0.044502,0.044502,1015858
2021-04-17,0.044406,0.050517,0.044219,0.047183,0.047183,1147799
2021-04-18,0.046897,0.047246,0.036359,0.040840,0.040840,1055555
2021-04-19,0.040857,0.043288,0.036333,0.039698,0.039698,1184288
2021-04-20,0.039175,0.049665,0.036675,0.044920,0.044920,2258265
2021-04-21,0.044972,0.047832,0.041501,0.042270,0.042270,1086713
2021-04-22,0.042302,0.044869,0.036199,0.037668,0.037668,1213384
2021-04-23,0.037622,0.039272,0.028284,0.034202,0.034202,1003793
2021-04-24,0.034165,0.035324,0.032296,0.033157,0.033157,714516
2021-04-25,0.033121,0.043011,0.031977,0.035812,0.035812,881750
2021-04-26,0.035812,0.041887,0.035781,0.040678,0.040678,729881
2021-04-27,0.040584,0.061163,0.038722,0.060585,0.060585,4926311
2021-04-28,0.060255,0.096243,0.047223,0.087160,0.087160,25222456
2021-04-29,0.086950,0.113682,0.069583,0.083937,0.083937,26215548
2021-04-30,0.083438,0.343273,0.077361,0.214273,0.214273,586326594
2021-05-01,0.216207,0.419071,0.202274,0.364169,0.364169,1219601369
2021-05-02,0.363543,0.401846,0.328584,0.330437,0.330437,353646145
2021-05-03,0.330942,0.341996,0.280117,0.295441,0.295441,154646151
2021-05-04,0.297050,0.332510,0.252637,0.291337,0.291337,142148066
2021-05-05,0.290487,0.322018,0.264954,0.277636,0.277636,107423085
2021-05-06,0.276969,0.288001,0.238005,0.239983,0.239983,48227937
2021-05-07,0.239543,0.265267,0.220469,0.226780,0.226780,50426256
2021-05-08,0.227438,0.274398,0.225298,0.248042,0.248042,73718982
2021-05-09,0.248218,0.253271,0.212611,0.232710,0.232710,31936721
2021-05-10,0.232219,0.246621,0.186178,0.190020,0.190020,39060457
2021-05-11,0.190529,0.209139,0.177926,0.194512,0.194512,28960198
2021-05-12,0.193796,0.212194,0.147706,0.147706,0.147706,25692903
2021-05-13,0.147596,0.171998,0.134704,0.157201,0.157201,24703575
2021-05-14,0.157517,0.249257,0.157517,0.202068,0.202068,104370834
2021-05-15,0.202294,0.225533,0.165774,0.175523,0.175523,29445003
2021-05-16,0.176668,0.243978,0.176668,0.209093,0.209093,69131028
2021-05-17,0.209896,0.342189,0.194428,0.268850,0.268850,199994386
2021-05-18,0.269546,0.314150,0.233479,0.236546,0.236546,72250368
2021-05-19,0.235860,0.249767,0.123192,0.146446,0.146446,40530108
2021-05-20,0.145643,0.187723,0.122165,0.168203,0.168203,32132994
2021-05-21,0.168312,0.184747,0.111135,0.133851,0.133851,28846772
2021-05-22,0.134248,0.137723,0.096182,0.115390,0.115390,28310439
2021-05-23,0.115778,0.117972,0.062446,0.082433,0.082433,16729067
2021-05-24,0.081840,0.122039,0.076942,0.114361,0.114361,27522039
2021-05-25,0.114666,0.141021,0.101866,0.129637,0.129637,36580392
2021-05-26,0.129651,0.196557,0.121959,0.196557,0.196557,44733441
2021-05-27,0.200348,0.247398,0.154696,0.212717,0.212717,119817174
2021-05-28,0.214404,0.230147,0.135653,0.148990,0.148990,147854349
2021-05-29,0.149372,0.168491,0.124857,0.131152,0.131152,64260314
2021-05-30,0.131651,0.156835,0.126661,0.136196,0.136196,44513400
2021-05-31,0.137008,0.147661,0.128843,0.146070,0.146070,31814365
2021-06-01,0.145780,0.148847,0.132751,0.134403,0.134403,19943151
2021-06-02,0.134816,0.142704,0.130401,0.139062,0.139062,20957901
2021-06-03,0.139079,0.149593,0.137058,0.145075,0.145075,21558098
2021-06-04,0.145185,0.145185,0.125331,0.131859,0.131859,18659818
2021-06-05,0.131741,0.138150,0.125538,0.129571,0.129571,14224287
