,Date,Open,High,Low,Close,Adj Close,Volume
57,9/10/2020,0.047449,0.05034,0.045926,0.049771,0.049771,5442272
58,10/10/2020,0.049707,0.051443,0.045497,0.045815,0.045815,8302501
59,11/10/2020,0.045806,0.049629,0.045449,0.048886,0.048886,6287463
60,12/10/2020,0.048891,0.050484,0.046535,0.047589,0.047589,9049431
61,13/10/2020,0.047421,0.049109,0.045674,0.046522,0.046522,7175418
62,14/10/2020,0.046483,0.046989,0.045195,0.045895,0.045895,4333146
63,15/10/2020,0.045956,0.046236,0.044238,0.045027,0.045027,3469517
64,16/10/2020,0.045025,0.045025,0.041341,0.043696,0.043696,6499827
65,17/10/2020,0.043658,0.044268,0.042696,0.043208,0.043208,3089599
66,18/10/2020,0.043165,0.043543,0.042252,0.042645,0.042645,3675828
67,19/10/2020,0.042604,0.04383,0.040829,0.040994,0.040994,9861501
68,20/10/2020,0.040941,0.041681,0.038096,0.038895,0.038895,6422777
69,21/10/2020,0.038893,0.039606,0.036754,0.038455,0.038455,7487464
70,22/10/2020,0.038412,0.04161,0.038412,0.039961,0.039961,5926491
71,23/10/2020,0.039961,0.043009,0.038845,0.039959,0.039959,7686300
72,24/10/2020,0.039959,0.041938,0.039894,0.040833,0.040833,7253140
73,25/10/2020,0.040833,0.040921,0.038516,0.039442,0.039442,4518620
74,26/10/2020,0.039442,0.041466,0.037523,0.037895,0.037895,5312738
75,27/10/2020,0.037895,0.039003,0.037641,0.037831,0.037831,3301717
76,28/10/2020,0.037831,0.037832,0.034329,0.035247,0.035247,5711808
77,29/10/2020,0.035247,0.039218,0.033197,0.037498,0.037498,5808845
78,30/10/2020,0.037499,0.038551,0.034212,0.035719,0.035719,6489159
79,31/10/2020,0.035719,0.036645,0.035023,0.035589,0.035589,2617298
80,1/11/2020,0.035589,0.036143,0.034721,0.035589,0.035589,2634264
81,2/11/2020,0.035589,0.036171,0.03394,0.035337,0.035337,2991619
82,3/11/2020,0.035337,0.035337,0.030024,0.030821,0.030821,5485885
83,4/11/2020,0.03082,0.031825,0.028939,0.031753,0.031753,5062403
84,5/11/2020,0.031753,0.036538,0.031612,0.034044,0.034044,7300245
85,6/11/2020,0.034044,0.03821,0.033819,0.03753,0.03753,4042072
86,7/11/2020,0.03753,0.040854,0.034387,0.036445,0.036445,5673787
87,8/11/2020,0.036445,0.038559,0.035275,0.038004,0.038004,2845659
88,9/11/2020,0.038004,0.039527,0.036095,0.037879,0.037879,3595087
89,10/11/2020,0.037879,0.042377,0.037819,0.041449,0.041449,5296836
90,11/11/2020,0.041449,0.043917,0.040324,0.042676,0.042676,5591870
91,12/11/2020,0.042675,0.05558,0.038197,0.038758,0.038758,25502603
92,13/11/2020,0.038758,0.041584,0.038413,0.039113,0.039113,8806723
93,14/11/2020,0.039113,0.039774,0.037005,0.038277,0.038277,3938206
94,15/11/2020,0.038277,0.040614,0.037133,0.037607,0.037607,5817468
95,16/11/2020,0.037607,0.03916,0.037344,0.038626,0.038626,4673304
96,17/11/2020,0.038156,0.039029,0.036757,0.037142,0.037142,6001851
97,18/11/2020,0.037142,0.037529,0.033999,0.035816,0.035816,5642010
98,19/11/2020,0.035816,0.037195,0.03505,0.036061,0.036061,4918169
99,20/11/2020,0.03606,0.037644,0.035692,0.036399,0.036399,5103922
100,21/11/2020,0.036399,0.040171,0.036245,0.040093,0.040093,6259819
101,22/11/2020,0.040093,0.049401,0.035765,0.045003,0.045003,38156068
102,23/11/2020,0.045003,0.061355,0.041809,0.047364,0.047364,68649199
103,24/11/2020,0.047344,0.05,0.045172,0.045259,0.045259,25078016
104,25/11/2020,0.045234,0.052157,0.043363,0.045088,0.045088,20737308
105,26/11/2020,0.045098,0.046102,0.037173,0.041482,0.041482,14280887
106,27/11/2020,0.041484,0.045941,0.039096,0.045877,0.045877,8848799
107,28/11/2020,0.045911,0.046484,0.043071,0.044796,0.044796,11230193
108,29/11/2020,0.044797,0.045596,0.04322,0.045439,0.045439,6065088
109,30/11/2020,0.04544,0.049296,0.045033,0.048184,0.048184,10022900
110,1/12/2020,0.048186,0.048295,0.043451,0.045689,0.045689,7295802
111,2/12/2020,0.045678,0.048506,0.044,0.046855,0.046855,7346374
112,3/12/2020,0.046852,0.047516,0.045931,0.04668,0.04668,5036542
113,4/12/2020,0.046718,0.046797,0.04222,0.0423,0.0423,5229419
114,5/12/2020,0.042183,0.044157,0.041277,0.043585,0.043585,4583409
115,6/12/2020,0.04355,0.044897,0.042608,0.043237,0.043237,2894315
116,7/12/2020,0.043257,0.04682,0.042652,0.045378,0.045378,6147440
117,8/12/2020,0.045393,0.048952,0.043892,0.044349,0.044349,11274827
118,9/12/2020,0.044362,0.053936,0.040704,0.051875,0.051875,20516766
119,10/12/2020,0.052105,0.055884,0.04898,0.052335,0.052335,29366502
120,11/12/2020,0.052555,0.054027,0.045407,0.045407,0.045407,13502522
121,12/12/2020,0.045442,0.050109,0.045345,0.047641,0.047641,9268445
122,13/12/2020,0.047639,0.049375,0.046127,0.048234,0.048234,6147043
123,14/12/2020,0.048232,0.051855,0.047202,0.049767,0.049767,7410345
124,15/12/2020,0.049754,0.053346,0.048058,0.052305,0.052305,9935650
125,16/12/2020,0.052337,0.053539,0.04864,0.051746,0.051746,13221185
126,17/12/2020,0.051749,0.052337,0.048617,0.04894,0.04894,11058516
127,18/12/2020,0.048988,0.051753,0.048133,0.051244,0.051244,9097456
128,19/12/2020,0.051318,0.052721,0.049796,0.05139,0.05139,12698939
129,20/12/2020,0.051397,0.055698,0.04908,0.049705,0.049705,18345864
130,21/12/2020,0.049742,0.050941,0.045425,0.047611,0.047611,11071203
131,22/12/2020,0.047565,0.0486,0.042165,0.046387,0.046387,10724443
132,23/12/2020,0.046408,0.046579,0.036108,0.038061,0.038061,8383661
133,24/12/2020,0.038076,0.040265,0.036082,0.040189,0.040189,5047615
134,25/12/2020,0.040149,0.041786,0.038148,0.038911,0.038911,5000461
135,26/12/2020,0.038966,0.040232,0.037246,0.037995,0.037995,5458283
136,27/12/2020,0.038002,0.041656,0.035883,0.039308,0.039308,7349951
